"ID","Tier","Area","Capability","Original OMP 17.0.6","Lycaon t4code/main","Desktop web/Electron","Mobile web/Capacitor","Flutter main","Gap classification","Recommended route","Evidence note"
"C03","T1","Composer","Inspect and change queue modes","/queue and configurable steering/follow-up modes","State carries queue data; no complete first-class controls","Code: partial","Code: partial","Code: partial","Queue behavior is powerful but opaque","Typed queue-mode commands over existing RPC","Avoid encoding queue changes as prompt text"
"C04","T0","Composer","Truthful slash command catalog and execution","Official OMP exposes bounded get_available_commands","Released fallback has a broader static command catalog","Sprint: implemented; TS verified","Sprint: implemented; TS verified","Sprint: implemented; Flutter verification pending","Merged host contract, rejection, and desktop preservation are now propagated into both client families; packaged proof remains","Merge this sprint, then verify Flutter desktop/Android/iOS and web/Electron packages","PRs #111, #113, and #117 provide truth and preservation; this branch presents result.operations"
"C05","T0","Composer","Prompt images","Native image input","Typed prompt image and blob path","Code: full","Code: full","Code: full","Needs platform picker and upload proof","Existing typed command plus platform file picker","Keep blob bounds and MIME checks"
"C06","T1","Composer","File path and resource references","Autocomplete and internal URI schemes","Catalog and artifact support exist","Code: partial","Code: partial","Code: partial","Not all OMP resource schemes have native pickers","Client pickers backed by typed read-only catalogs","Do not expose private filesystem paths unnecessarily"
"C07","T0","Composer","Model thinking and fast mode","Native controls and role routing","Typed model/thinking/fast commands","Code: full","Code: full","Code: full","No major source gap","Existing typed commands","Model choices must come from live catalog"
"C08","T0","Composer","Plan and plan-review modes","/plan /plan-review and plan model role","Cataloged but TUI-only","Visible: terminal-only","Visible: terminal-only","Visible: terminal-only","The UI now explains that the command cannot run in-app, but there is still no typed mode control","Add typed mode operations through a stable official OMP seam; use a small extractable bridge method only if required","Do not simulate plan mode with a prompt prefix"
"C09","T0","Composer","Goal and guided-goal modes","/goal /guided-goal plus hidden goal tool","Cataloged but TUI-only","Visible: terminal-only","Visible: terminal-only","Visible: terminal-only","The UI now explains that the command cannot run in-app, but goal lifecycle is not mapped","Add typed goal commands and goal events through the official adapter","Goal state belongs to OMP"
"C10","T2","Composer","Loop and vibe workflows","/loop /vibe","Cataloged but TUI-only","Missing","Missing","Missing","Advanced modes have no app equivalent","Typed actions only after product semantics are clear; otherwise CLI handoff","Do not blindly copy terminal dialogs"
"C11","T1","Composer","Advisor and prewalk","/advisor /prewalk","Verified headless handlers","Slash only","Slash only","Slash only","Works without first-class progress/result UX","Keep marked slash initially; later typed action","Advisor has an independent context"
"C12","T2","Composer","Force a specific tool","/force","Verified headless handler","Slash only","Slash only","Slash only","Risky power control lacks structured validation","Typed tool selection using live catalog","Never accept an unknown tool name silently"
"C13","T2","Composer","Side question and tangent agent","/btw /tan","Cataloged but TUI-only","Missing","Missing","Missing","No native side-channel workflow","Typed ephemeral question and background-agent actions","Keep results visually separate from main transcript"
"C14","T2","Composer","Voice input and text-to-speech","Speech tools and CLI say/ttsr","Capacitor adds speech support; OMP tool remains runtime-owned","Code: partial","Code: partial","Code: partial","Coverage and provider behavior differ by platform","Platform speech adapter plus typed OMP speech artifact","Do not treat device dictation and OMP TTS as the same feature"
"C15","T2","Composer","Browser guest and browser mode","/browser and browser tool","Verified headless browser command plus T4 preview contract","Code: full","Code: partial","Code: partial","Mobile preview interactions need proof","Use T4 preview contract; keep OMP browser tool output as runtime truth","Authenticated previews require explicit authority"
"T01","T0","Transcript","Markdown code and thinking display","Rich TUI rendering","Structured entries","Code: full","Code: full","Code: full","No major source gap","Shared semantic entry model","Respect hidden-thinking policy"
"T02","T0","Transcript","Safe generic tool fallback","Tool events and structured results","Typed durable tool entries","Code: full","Code: full","Code: full","No major safety gap","Keep generic bounded JSON fallback","Unknown tools must remain visible rather than disappearing"
"T03","T1","Transcript","Specialized tool renderers","Rich terminal renderers","Tool metadata available","Code: partial: 24 of 29 built-in names specialized","Code: partial","Code: partial: generic structured cards","Five web built-ins and most Flutter tools lack specialized views","Share semantic tool-view models; render per platform","Generic fallback is safe but less readable"
"T04","T0","Transcript","Images artifacts and large outputs","Blob and artifact schemes","Typed images and artifact reads","Code: full","Code: full","Code: full","Needs packaged size/error proof","Existing typed artifact path","Never inline unbounded outputs"
"T05","T0","Transcript","Approvals questions and proposed-plan responses","Ask tool and approval modes","Attention Inbox and ui.respond","Code: full","Code: full","Code: full","Needs live cross-device race tests","Existing typed response with leases/revisions","OMP remains decision/outcome authority"
"T06","T0","Transcript","Errors retry compaction and interruption states","Native events","Projected session state and outcomes","Code: full","Code: full","Code: full","Needs real failure-matrix proof","Existing events and commands","Do not infer success from connection health"
"T07","T1","Transcript","Collaboration and system messages","Native events and shared sessions","Partial event projection","Code: partial","Code: partial","Code: partial","Some OMP-native event types use generic output","Extend durable entry union only for stable semantic events","Avoid copying presentation-only terminal events"
"A01","T0","Agents","Agent tree and lifecycle","/agents /tree and task/hub tools","Agent lifecycle feature and projected state","Code: full","Code: full","Code: full","No major source gap","Existing projection","Verify deeply nested trees"
"A02","T1","Agents","Progress and current activity","Agent/tool progress events","Agent progress feature","Code: full","Code: full","Code: full","Needs slow-task and reconnect proof","Existing event projection","Progress is not completion proof"
"A03","T1","Agents","Child transcript","agent:// resources and session children","Agent transcript feature","Code: full","Code: full","Code: full","No major source gap","Existing typed reads","Keep child identity stable"
"A04","T0","Agents","Cancel child agent","Task/hub control","Typed agent.cancel","Code: full","Code: full","Code: full","No major source gap","Existing typed command","Cancellation result must be explicit"
"A05","T1","Agents","Steer wake or message child agent","Hub/task coordination","No complete client action mapped","Missing","Missing","Missing","Viewing and cancellation are not full orchestration","Typed agent commands backed by OMP hub/task APIs","Do not inject text into child session files"
"A06","T1","Agents","Agent worktree and branch context","Optional isolated worktrees","Workspace metadata is optional","Code: partial","Code: partial","Code: partial","Ownership and branch context are thin","Read-only projection plus typed guarded mutations","Keep Git authority in runtime/workspace layer"
"A07","T2","Agents","Jobs and hub dashboard","/jobs and task/hub tools","Jobs command has headless handler; hub is tool-driven","Slash only","Slash only","Slash only","No first-class queue/dashboard","Read-only job projection, then bounded controls","Background process state should survive reconnect"
"A08","T1","Agents","Todos","/todo and todo tool","Verified headless command plus projected state","Code: partial","Code: partial","Code: partial","Readability/edit controls vary by client","Typed todo projection/actions","OMP remains todo authority"
"A09","T2","Agents","Agent inventory and role configuration","CLI agents and role settings","Catalog/settings metadata","Read only","Read only","Read only","No ergonomic management UI","Schema-driven settings plus bounded catalog","Avoid hand-maintained agent lists"
"D01","T0","Developer","List and read files","read/glob/find/search tools","Confined files.list/read authority","Code: full","Code: partial","Code: full","Mobile layout and large-file proof remain","Existing typed commands","Respect project-root confinement"
"D02","T0","Developer","Write and patch files","write/edit/ast tools","Revision-checked files.write/patch","Code: full","Code: partial","Code: full","Mobile confirmation and conflict UX need proof","Existing typed commands","Never bypass revision checks"
"D03","T0","Developer","Diff and turn review","Git/review custom commands and patches","files.diff and review.read/apply","Code: full","Code: partial","Code: full","Mobile review ergonomics need proof","Existing typed commands","Review applies immutable turn patches"
"D04","T1","Developer","Persistent terminal","PTY shell and jobs","Bounded term.open/input/resize/close","Code: full","Code: partial","Code: full","Phone keyboard/resizing and lifecycle need proof","Existing typed terminal commands","Terminal is an advanced mobile surface, not a copied desktop layout"
"D05","T1","Developer","One-shot bash","bash tool and CLI shell","Bounded bash.run","Code: full","Code: partial","Code: full","Confirmation and output bounds need proof","Existing typed command","Execution permission is separate from read permission"
"D06","T1","Developer","Browser preview navigate and capture","Browser tool and attached Electron","Broad T4 preview contract","Code: full","Code: partial","Code: full","Mobile remote preview proof remains","Existing typed preview commands","Use negotiated preview capabilities"
"D07","T2","Developer","Browser preview input upload and handoff","Browser tool interactions","Preview click/fill/scroll/type/key/select/upload/handoff vocabulary","Code: partial","Code: partial","Code: partial","Protocol breadth is not full UI proof","Finish UI only for advertised live capabilities","Authenticated-profile use requires explicit opt-in"
"D08","T2","Developer","Audit and raw event tail","Debug and event hooks","audit.read and audit tail","Code: full","Code: partial","Code: full","Mobile filters/export may be thin","Read-only diagnostic UI","Redact secrets before transport"
"D09","T1","Developer","Logs diagnostics and health","/debug provider health and CLI operations","Broker/runtime diagnostics and redaction","Code: partial","Code: partial","Code: partial","No single end-to-end support bundle","T4-owned diagnostics bundle with OMP version/protocol IDs","Never include credentials or raw tokens"
"M01","T0","Models and auth","Model/provider inventory and model switch","Broad provider/model catalog","Schema-backed catalog and typed model selection","Code: full","Code: full","Code: full","No major source gap","Existing catalog and command","Live catalog labels are authoritative"
"M02","T1","Models and auth","Role routing for plan smol slow vision advisor and others","Native role settings","Catalog/settings expose roles","Code: partial","Code: partial","Code: partial","Full role mapping is hard to understand in clients","Schema-driven role editor with plain-English descriptions","Do not hard-code provider lists"
"M03","T1","Models and auth","Provider health and credential presence","Native auth and usage status","Broker status with secret redaction","Code: full","Code: full","Code: full","Needs provider-specific error proof","Existing broker status","Show presence and health, never credential values"
"M04","T0","Models and auth","Provider login logout and setup","/login /logout /setup and RPC get_login_providers/login","Slash commands are TUI-only; broker is mostly status","Missing","Missing","Missing","Core account setup still requires terminal","Typed auth flow over existing RPC; keep secrets on host","OAuth and MFA may require a browser or CLI handoff"
"M05","T1","Models and auth","Custom provider and models.yml configuration","Native config","config.write and schema settings","Code: partial","Code: partial","Code: partial","Advanced validation/editor is incomplete","Schema-backed structured editor with raw-file escape hatch","Never return stored secrets"
"M06","T1","Models and auth","Quota usage and reset times","/usage and provider adapters","Structured usage.read","Code: full","Code: full","Code: full","No major source gap","Existing typed read","Separate unknown usage from zero usage"
"X01","T1","Extensibility","Tool inventory and availability","/tools and tool registry","Catalog metadata","Read only","Read only","Read only","Inventory exists; enable/disable UX is incomplete","Catalog plus schema-driven settings","Tool policies belong to OMP"
"X02","T2","Extensibility","MCP servers resources prompts OAuth and reconnect","/mcp and MCP config","Verified headless command; catalog/settings foundations","Slash only","Slash only","Slash only","Management still depends on command text or terminal","Typed bounded MCP management; begin read-only","OAuth may require external browser handoff"
"X03","T2","Extensibility","Extensions inventory enable disable and status","/extensions and extension discovery","Command is TUI-only; catalog/settings partial","Read only","Read only","Read only","No complete lifecycle UI","Read-only inventory then typed enable/disable/reload","Extensions can execute code; preserve clear trust warnings"
"X04","T2","Extensibility","Marketplace and plugins install update enable disable","/marketplace /plugins /reload-plugins and omp plugin","Headless handlers exist for marketplace/plugins/reload","Slash only","Slash only","Slash only","No safe progress permission or restart UX","Typed package operations with source and confirmation","Installation changes executable code"
"X05","T2","Extensibility","Skills inventory selection and skill commands","Skills and /skill:<name>","Catalog/settings can describe skills","Read only","Read only","Read only","Dynamic skill commands are not fully classified","Generated manifest plus read-only detail; typed selection","Skill resources should be fetched through stable IDs"
"X06","T2","Extensibility","Custom and bundled commands","Bundled /review and /green plus custom commands","Catalog partially exposes commands","Code: partial","Code: partial","Code: partial","Official OMP discovery classifies currently available headless commands, but dynamic lifecycle and richer metadata still need proof","Use the shared operation contract for every discovered command and refresh after extension changes","Never assume an undiscovered custom command is headless-safe"
"X07","T3","Extensibility","Hooks custom renderers keybindings and providers","Rich extension API and TUI components","Only stable runtime events/catalog data should cross","Platform","Platform","Platform","Terminal UI plugins cannot run unchanged in native clients","Define small semantic extension points in T4; use CLI handoff for terminal UI","Do not make T4 execute untrusted terminal renderers"
"X08","T2","Extensibility","Reload extensions plugins and MCP","Native reload paths","Some verified headless handlers","Slash only","Slash only","Slash only","No unified result/restart model","Typed reload actions with returned status","Reload can interrupt active behavior"
"K01","T1","Context and memory","Context meter report and compaction state","/context and native status","Projected context and compaction fields","Code: full","Code: full","Code: full","Detailed strategy explanation may be thin","Read-only projection","Use OMP token accounting"
"K02","T1","Context and memory","Applied project rules skills and context disclosure","/context and discovery","Discovery/catalog supports partial detail","Code: partial","Code: partial","Code: partial","Users cannot always see why context was included","Read-only structured context report","Do not duplicate rule discovery in clients"
"K03","T2","Context and memory","Retain recall reflect and memory search","Memory tools and /memory","Tool events plus generic fallback","Code: partial","Code: partial","Code: partial","Tools can run but there is no first-class memory browser","Typed read-only memory view; keep writes as OMP tools initially","Memory backends differ"
"K04","T2","Context and memory","Memory maintenance edit learn and manage skill","memory_edit learn manage_skill tools","Generic tool fallback only","Code: partial","Code: partial","Code: partial","No specialized renderers or management UI","Shared semantic tool views then bounded management actions","These are three of the five unspecialized web built-ins"
"K05","T3","Context and memory","OMFG TTSR and deep maintenance workflows","/omfg and CLI ttsr","TUI/CLI-specific","Missing","Missing","Missing","Niche workflows have no app path","Explicit CLI handoff unless demand justifies typed contract","Keep out of Tier 0 parity claims"
"K06","T2","Context and memory","Checkpoint and rewind","checkpoint and rewind tools","Generic tool fallback only","Code: partial","Code: partial","Code: partial","No first-class history control or specialized result","Typed guarded actions plus visual history explanation","Potentially destructive to conversation state"
"G01","T0","Settings","Read full settings schema and effective values","415 top-level settings; 303 with UI metadata","Schema-backed secret-safe catalog/settings authority","Code: full","Code: full","Code: full","No major foundation gap","Continue generated UI","Do not manually duplicate hundreds of settings"
"G02","T1","Settings","Write scoped settings reset and source visibility","Layered global/project/CLI/runtime config","Typed settings.write and config.write","Code: full","Code: full","Code: full","Reset/scope explanation needs platform proof","Existing typed commands with source metadata","Show which layer wins"
"G03","T0","Settings","Secret-safe provider setup","Native login and masked settings","Broker hides secrets; auth action missing","Code: partial","Code: partial","Code: partial","Safe reads exist but login/setup does not","Typed auth flow that keeps secrets on host","Never send raw stored credentials to clients"
"G04","T1","Settings","Platform applicability and restart-required state","Settings metadata and runtime behavior","Catalog has type/source/scope/platform metadata","Code: partial","Code: partial","Code: partial","Restart/applicability feedback is incomplete","Extend catalog metadata if original schema can supply it","Disable controls not supported by the active platform"
"G05","T2","Settings","Themes contrast and accessibility","TUI themes and accessibility settings","Clients own native presentation","Code: full","Code: partial","Code: full","Cross-platform parity needs visual/accessibility proof","Platform UI settings; map only semantic OMP options","Do not copy terminal color mechanics literally"
"G06","T3","Settings","Hotkeys and keybinding reference","/hotkeys and extension keybindings","TUI-only command","Platform","Platform","Platform","Native clients need their own shortcut help","Client-owned shortcut catalog","Functional equivalence rather than key-for-key parity"
"G07","T1","Settings","Notifications and attention alerts","TUI notifications and events","Attention projection exists","Code: partial","Code: partial","Code: partial","Native notification permission and deep links need proof","Platform notification adapters over attention events","Avoid leaking prompt content on lock screens by default"
"G08","T1","Settings","Application and runtime updates","OMP update command; provider/package updates","T4 release lifecycle is separate","Code: partial","Code: full for Capacitor updater","Code: partial","Flutter/Desktop cutover and paired-runtime updates are incomplete","T4-owned updater with compatibility matrix","Never update one side of the pinned pair blindly"
"G09","T1","Settings","Diagnostics and support bundle","Debug logs stats changelog","T4 audit broker and runtime identity","Code: partial","Code: partial","Code: partial","No one-click redacted proof bundle","T4-owned support artifact with exact version pins","Include what was verified and what could not be checked"
